Oc,media_erro,var_erro,desvio_padrao_erro
0,40.180330923993026,1220904195.6440146,34941.43951877218
10,-3.4309355989274,84321335.54696155,9182.6649479855
20,-18.291759546660785,110304286.2870407,10502.584743149693
30,-6.535661202715993,85803960.0793126,9263.042700933242
40,30.59823682658996,675757978.6766753,25995.345327128765
50,1.1569769501652838,419705602.0682464,20486.717698749268
60,-18.40210730467909,87464375.84186995,9352.239081731708
70,-12.890218849244981,131043778.43367134,11447.435452260534
80,-25.390537389021787,298378988.6576445,17273.65012548432
90,-9.749083241300866,263561358.0821379,16234.572925769804
100,2.8044700643823237,365135330.642446,19108.51461109539
