Oc,media_erro,var_erro,desvio_padrao_erro
0,-0.30869460637982205,52.183186292858444,7.223793068247349
10,-10.423195183002273,3207.963799969843,56.63888946624786
20,-13.68618492211373,4417.614305966963,66.46513601856964
30,-12.740859984901695,4749.774453027042,68.91860745130478
40,-11.097040888954352,4661.517205498894,68.27530450681925
50,-9.419239886920973,4565.268593041779,67.56677136760183
60,-8.41104898896259,4565.643406879807,67.56954496575959
70,-7.541356628239019,4587.62461774925,67.73200585948456
80,-6.902473486143621,4480.981825995834,66.94013613666941
90,-7.032627986822291,4674.824662227563,68.37268944708525
100,-6.731852788444585,4671.615277747117,68.34921563373729
