Oc,media_erro,var_erro,desvio_padrao_erro
0,nan,nan,nan
10,0.08133583208939932,866.0782904663378,29.429208118234133
20,-0.07467895171470469,1646.1336255541307,40.57257233099882
30,-0.18761153174933437,2295.9858944667003,47.91644701422154
40,-0.09140601617783731,2899.058207490347,53.842903037358106
50,-0.034535857649171775,3363.10457297321,57.99228028775218
60,-0.08379825940239953,3773.15251031394,61.42599213943508
70,0.010192257142575928,4098.053185925537,64.01603850540532
80,0.027227334902153764,4364.599486828651,66.06511550605698
90,-0.005857968599433711,4517.834161021613,67.21483586992989
100,-0.08494292858823138,4631.134827315017,68.05244174395962
