Oc,media_erro,var_erro,desvio_padrao_erro
0,30.000906674119523,0.23028440831998653,0.479879576894023
10,7.754738969636822,672.6078602162282,25.93468450196046
20,-14.58698205804526,1287.6897300938588,35.88439396302881
30,-37.05915644453879,1807.383193946472,42.51332960315472
40,-59.44655229986141,2250.8629346580115,47.443260160511855
50,-81.76734100159034,2649.7056706858725,51.47529184653422
60,-104.21257976664678,2995.6472880471174,54.732506685215114
70,-126.73395365589876,3250.2068984789857,57.01058584577943
80,-149.11166096528441,3432.0579330495207,58.583768511845676
90,-171.38373702780643,3555.130320797789,59.6249135915331
100,-193.69051152629345,3610.6665972169217,60.08882256474095
