Oc,media_erro,var_erro,desvio_padrao_erro
0,30.00090671610382,0.14258345507399262,0.37760224452986585
10,7.754714268204442,470.87452465488474,21.699643422298088
20,-14.587027840929542,901.4710499609622,30.024507489065698
30,-37.05909471185783,1261.4205833774672,35.51648326309162
40,-59.44653382337278,1573.6878237184205,39.669734354018814
50,-81.76719684563035,1855.7222133209898,43.07809435572783
60,-104.21280986751867,2096.843975101463,45.7913089472387
70,-126.73426008383183,2271.528714209234,47.66055721673042
80,-149.11207946380503,2397.825845073865,48.96759995215066
90,-171.383560724213,2486.0061372471205,49.859864994272904
100,-193.6902008716279,2522.251298958265,50.22202006050996
