Oc,media_erro,var_erro,desvio_padrao_erro
0,-7.105519728526134e-15,6.992482501455383e-33,8.362106493853915e-17
10,2.8107406699456963e-15,3.407775483500427e-25,5.837615509350052e-13
20,4.6587773472487774e-15,5.0589104727682373e-26,2.2492021858357326e-13
30,-2.5994777059839685e-15,1.1291043213393964e-25,3.360214757034729e-13
40,2.8322559900457925e-15,2.087387642118903e-25,4.568793759975277e-13
50,4.82778416569027e-15,9.455177188157605e-26,3.0749271842041405e-13
60,-2.4394450781918885e-15,1.663347720046289e-24,1.28970838566177e-12
70,-3.2973400453601083e-15,2.4160354031663966e-24,1.5543601266007812e-12
80,-1.571101538300026e-15,9.513175589065355e-25,9.753550937512632e-13
90,-3.959572076730326e-15,1.8458997314719026e-24,1.3586389260844483e-12
100,-6.249461521676896e-16,2.3700341345281966e-24,1.539491518173516e-12
