n_ocupacao,media_DP,var_DP,DP_DP
0,1.3122484737147624,0.01537059410688003,0.1239782001276032
10,19.13201824946921,3.2160293012829997,1.7933291112573284
20,29.813072991962166,8.398987761863197,2.898100716307699
30,39.88622369640828,14.53044512036784,3.8118820968607934
40,49.75368158166496,22.02339569419792,4.692909086504651
50,59.45712360513921,31.180133084818486,5.583917360135131
60,69.19269458065425,41.892983215810865,6.472478908100888
70,78.83991768730856,55.173172882244046,7.427864624657887
80,88.4544539685006,68.5231059641987,8.27786844327685
90,98.00835052487207,84.53885064573628,9.194501109126927
100,107.56732629623387,98.88300493282946,9.94399340973381
