n_ocupacao,media_MAE,var_MAE,DP_MAE
0,0.0,0.0,0.0
10,5.825523765858367,3.395168848163577,1.8425983957888319
20,8.06097872689497,6.499402569069921,2.5493925882589994
30,10.036496308111019,10.072595179024853,3.1737352093432203
40,11.822504264240314,13.977470618594651,3.738645559369683
50,13.44097935498312,18.064797305150122,4.250270262600971
60,14.922994104802058,22.2689127631606,4.718994889079728
70,16.30532873892886,26.587646696711587,5.156321042828073
80,17.566508564465693,30.85996335874944,5.555174466994663
90,18.70808550422984,34.99508303609924,5.915664209207554
100,19.750478284246856,39.00732979806542,6.2455848243431475
