n_ocupacao,media_MSE,var_MSE,DP_MSE
0,1.7373666508736034,0.031006248241775138,0.17608591153688344
10,369.2501515993058,1706.5011293494736,41.309818800733964
20,897.2183089859271,9339.228304119397,96.6396828643358
30,1605.4412858802891,28024.575083551375,167.405421308724
40,2497.4522266239037,66097.30598279323,257.0939633340177
50,3566.329680481623,130769.56083897113,361.6207417156421
60,4829.5219665475115,240650.76656705455,490.56168477272513
70,6270.9057938238375,401471.6459736537,633.6179021884196
80,7892.713532829791,630948.251331651,794.3225109057724
90,9690.175623251916,948557.6981843159,973.939268221749
100,11669.612691453285,1366650.19720435,1169.0381504486284
