n_ocupacao,media_MSE,var_MSE,DP_MSE
0,0.0,0.0,0.0
10,104.49026404478178,1097.051146740076,33.12176243408669
20,188.72351249131336,3568.8844030043256,59.74014063428647
30,270.8133441755935,7336.741412363734,85.65478044081213
40,351.67883798394644,12376.521229468448,111.2498145143103
50,431.16816575219514,18602.25419557865,136.39008100143738
60,509.4985478146186,25969.357390021534,161.15010825321073
70,586.9778258298057,34474.722944024375,185.67370019478898
80,661.72854920934,43812.34985251103,209.31399822398652
90,733.0176042019958,53739.55360060637,231.8179320083034
100,801.9452360076252,64322.68191791204,253.61916709490242
