n_ocupacao,media_DP,var_DP,DP_DP
0,14232.082195178022,1795220292.425596,42370.040033325386
10,6121.963769505748,177994531.8543779,13341.459135131281
20,6311.7970380333245,177489758.38262072,13322.528227878547
30,11241.121635260275,1585449046.4433606,39817.697653723786
40,5689.1103986998305,284477247.2769985,16866.453310551053
50,4367.162904748518,69020590.82087721,8307.863192234043
60,9956.538995893252,1363744586.3201272,36928.912606792626
70,13312.038132361358,5401401131.214206,73494.22515554678
80,9804.41710039246,1444493652.784189,38006.49487632593
90,7805.740378362173,756041061.7031026,27496.200859447883
100,10908.280477996546,1501898459.3329344,38754.33471668601
