n_ocupacao,media_MAE,var_MAE,DP_MAE
0,259.85165165088995,65353.0361874289,255.64239904098244
10,154.3486826360273,20537.958043270708,143.31070456623507
20,148.23259683852464,22510.523008850076,150.03507259587698
30,116.0018696493507,2823.5298520875713,53.1368972756932
40,127.3085354857309,38121.1515524486,195.24638678461787
50,130.7324300631696,14619.798671053777,120.91235946359569
60,258.60833020127563,2134024.8529606867,1460.830193061701
70,109.79539493006791,2928.9015406364174,54.11932686791676
80,166.079655470361,131925.51427831117,363.21552042597403
90,2378.2955530588383,512694143.5949804,22642.75035403121
100,126.43817093195393,8300.081627374637,91.10478377876014
