n_ocupacao,media_MAE,var_MAE,DP_MAE
0,0.0,0.0,0.0
10,0.14663734068173415,0.002150859248793312,0.04637735706994645
20,0.28215694147334697,0.007961950986070571,0.08922976513513062
30,0.4124353329093707,0.017011289563648693,0.1304273344190116
40,0.538728003931453,0.02902236026077221,0.17035950299520192
50,0.6608516213254835,0.04367150725122668,0.20897728884074143
60,0.7791055898037126,0.060696227282600955,0.2463660432823504
70,0.8943931668999165,0.07998700571590739,0.28281974067576576
80,1.0059332865996742,0.10118719730405176,0.31809935131032846
90,1.1140644428781437,0.12411167425971378,0.35229486834144175
100,1.2182400795299635,0.14840445229967414,0.3852329844388641
