n_ocupacao,media_MSE,var_MSE,DP_MSE
0,1997772456.0358975,2.5301814526071233e+20,15906544101.743544
10,215472972.24951896,1.6851161396297144e+18,1298120233.1177626
20,217328540.23194683,8.176353134018125e+17,904231891.3872771
30,1711811862.0620735,2.0523228967984526e+20,14325930674.125338
40,316843224.4055938,5.490950445898294e+18,2343277714.2068105
50,88092702.65748872,2.474622334204312e+17,497455760.26460004
60,1462877255.0968697,9.426949734647777e+19,9709248031.978468
70,5578611490.451597,2.763284487278636e+21,52566952425.25132
80,1540620247.4626453,1.4284609650425314e+20,11951823982.31555
90,816970644.5574919,5.36852112076179e+19,7327019258.035146
100,1620889042.3195593,1.8376934146389462e+20,13556155113.596724
