n_ocupacao,media_MSE,var_MSE,DP_MSE
0,0.0,0.0,0.0
10,0.22213100048854867,0.004936229119635559,0.07025830285194454
20,0.4446849946910694,0.019779457925782958,0.14063946077037895
30,0.6667256785700054,0.04445782829425273,0.2108502508754797
40,0.8874172925545232,0.07875065647564967,0.28062547367559076
50,1.108713219921771,0.12292445532616499,0.3506058404050979
60,1.329238907756512,0.17667440227667594,0.42032654243656314
70,1.5487029885486863,0.23982089737558382,0.48971511858996536
80,1.7663385343749896,0.3119895958346607,0.5585602884511758
90,1.982981059881147,0.393226658484291,0.6270778727433228
100,2.1969199227787564,0.4826250903346899,0.694712235630473
