n_ocupacao,media_SNR,var_SNR,DP_SNR
0,nan,nan,nan
10,0.07099729640615485,0.0013901938145103987,0.03728530292904161
20,0.015349350350759329,0.04984180169800978,0.2232527753422335
30,0.17601595703755735,0.07391359058965641,0.2718705401283052
40,0.07805793221085482,0.0035377060079067016,0.05947861807327656
50,0.16294451535994717,0.03747324208011128,0.1935800663294423
60,0.0927674837732884,0.0021067304240132696,0.045899133151000464
70,-0.03565724500551994,0.22830346386458802,0.4778111173513944
80,0.13141958420079478,0.0003988401123736933,0.019970981757882943
90,0.3769243900365339,0.5853427289932184,0.7650769431849442
100,0.10168230010466779,0.0200608780394362,0.1416364290690647
