n_ocupacao,media_EME,var_EME,DP_EME
0,-6.862817135418405e-05,5.716905880514939e-07,0.0007561022338622562
10,-2.0781477508020165,0.07446661587464862,0.2728857194406637
20,-2.9291758387012363,0.1266895482223453,0.3559347527600323
30,-3.1258396101934274,0.15559869842572432,0.3944600086519853
40,-3.020809474227409,0.16233724938671346,0.4029109695537135
50,-2.786638603238447,0.14930806935966945,0.3864040234775894
60,-2.6005948895147646,0.1472419407778037,0.383721175826672
70,-2.4024612218246175,0.11810998586423248,0.343671334074043
80,-2.351853584062668,0.10633636064656057,0.3260925645373727
90,-2.336865851246592,0.12558903494416432,0.35438543274824985
100,-2.344473153258231,0.11912894249032834,0.34515060841656986
