n_ocupacao,media_DP,var_DP,DP_DP
0,0.0,0.0,0.0
10,8.46624291951346,1.6587365550227846,1.2879194675998902
20,17.77823244900593,5.080930063568175,2.254091848964495
30,25.38518626249525,8.417980853205746,2.9013756828797175
40,32.49393634594439,11.146132008771623,3.3385823351793533
50,39.35746065683379,17.527083376984525,4.186535963894795
60,45.696287999584726,19.158057866462332,4.376991874159962
70,51.149450420156285,26.972876851668477,5.19354184075458
80,56.790909151097296,32.06137187826656,5.662276209994225
90,61.57577922422674,37.153215437210974,6.095343750537042
100,65.19865855093732,39.69028588004818,6.300022688851857
