n_ocupacao,media_MSE,var_MSE,DP_MSE
0,0.0,0.0,0.0
10,73.33600572723458,371.58255350832474,19.276476688137922
20,321.1464790744556,3999.393966307117,63.240761904859404
30,652.8256624347836,10407.498093673319,102.01714607688905
40,1067.0020312630577,17251.980428557734,131.34679451192454
50,1566.5367927312043,42251.31918891923,205.5512568410109
60,2107.308794807452,64183.083352995076,253.34380464695613
70,2643.2391551356927,95859.23805350046,309.6114307539379
80,3257.2687340864536,138035.15039263054,371.5308202459529
90,3828.729802507926,185544.2620765105,430.74849050984557
100,4290.555362721761,224548.50279485478,473.8654901919476
