n_ocupacao,media_DP,var_DP,DP_DP
0,29.725493128229452,7.732917743547509,2.7808124250922623
10,22.84497044036957,4.737279896708295,2.176529323649993
20,33.02776696659595,10.866793527980377,3.296481992667392
30,50.88853786741456,24.656473467452436,4.9655285184411575
40,70.86810391619954,45.19112793643621,6.722434673273978
50,91.53276109972782,74.57477855658955,8.635668969836068
60,112.73031078881198,111.75893362477015,10.571609793440645
70,133.97640315333575,160.4945969710643,12.668646216982472
80,155.35067931399433,211.46134809992242,14.541710631831538
90,176.706835122359,276.7212071601792,16.634939349458993
100,198.1450696557211,334.38380735590187,18.286164369705908
