n_ocupacao,media_DP,var_DP,DP_DP
0,2.9058345950573437e-16,7.121858605802078e-32,2.6686810610865583e-16
10,8.308870470324435e-13,7.378656077095798e-26,2.716368177750542e-13
20,2.099782764120443e-12,4.0377725724535045e-25,6.354346994344505e-13
30,1.4306455975234635e-12,7.787328651198374e-25,8.824584211847249e-13
40,1.5263908606839242e-12,1.0525896316759172e-25,3.244363776884333e-13
50,1.8819553181284514e-12,1.449764537592031e-24,1.2040616834664373e-12
60,2.4755636874967782e-12,1.0045340051119751e-24,1.0022644387146414e-12
70,3.589967196155224e-12,4.144012721540968e-25,6.437400656741017e-13
80,1.6966559632988923e-12,4.643863116547273e-25,6.814589581586901e-13
90,2.1442623640171108e-12,8.39782121752884e-25,9.163962689540392e-13
100,2.052289625193798e-12,3.8261134431970034e-25,6.185558538399748e-13
