n_ocupacao,media_EME,var_EME,DP_EME
0,9.690527181663683e-16,3.233605381862747e-29,5.686479914554123e-15
10,2.7564456885101652e-15,3.619855363949028e-29,6.016523384770501e-15
20,2.3572883401049856e-14,5.494321402207667e-27,7.412368988526992e-14
30,1.0289211931640863e-13,1.080208765932427e-25,3.2866529569341926e-13
40,1.6752843542532328e-15,6.243871434027438e-29,7.901817154318011e-15
50,7.059267940561045e-14,4.981467280366124e-26,2.2319200882572216e-13
60,-2.1393262073673352e-14,3.967644669211524e-27,6.298924248799571e-14
70,-5.865581026647609e-14,3.648748390552165e-26,1.9101697282053668e-13
80,4.204044842891127e-14,1.7501762953364348e-26,1.3229422872281447e-13
90,-5.2877039213286835e-14,2.715474931940571e-26,1.647869816441994e-13
100,9.83726864297159e-14,9.673205792794396e-26,3.1101777751109976e-13
