n_ocupacao,media_MAE,var_MAE,DP_MAE
0,29.705373493122504,8.751408081088526,2.9582778911198533
10,19.034996401212236,3.688238583930677,1.9204787382136457
20,24.129111355772974,6.204137118455396,2.4908105344356075
30,39.39357518471019,16.27023696294647,4.033638179478481
40,59.3886364219659,36.18077860670641,6.015046018669052
50,81.02372329432251,66.14967295329492,8.133244921511643
60,103.15515151558458,107.40554505755532,10.363664653854606
70,125.33791832846511,157.55416559841086,12.552058221598992
80,147.4930266216119,217.28926038571313,14.740734730186048
90,169.59855436883728,287.2238800254539,16.947680668028116
100,191.68352619124212,365.7277661588803,19.124010200762818
