n_ocupacao,media_MAE,var_MAE,DP_MAE
0,4.8446014875706685e-15,9.804953415841164e-30,3.1312862238768856e-15
10,5.27367101413191e-13,2.912923007417109e-26,1.706728744533562e-13
20,1.5108995770375273e-12,2.035399308710346e-25,4.51153999063551e-13
30,1.0382642162565663e-12,3.813841257463476e-25,6.175630540652085e-13
40,1.1436598239031111e-12,5.99166727386377e-26,2.4477882412218115e-13
50,1.4110389411043204e-12,7.358452196207844e-25,8.578142104329961e-13
60,1.913323956098286e-12,6.071185574403308e-25,7.791781294674093e-13
70,2.7676750486383845e-12,2.6654026669097686e-25,5.162753787379143e-13
80,1.3542077501603257e-12,1.9786717730630372e-25,4.4482263578453795e-13
90,1.6504330641117643e-12,5.197481032777053e-25,7.20935574984135e-13
100,1.6589777360110106e-12,9.745653004938388e-26,3.1218028453024364e-13
