n_ocupacao,media_MSE,var_MSE,DP_MSE
0,3.343077354391499e-29,1.5792413296136127e-57,3.973966947036189e-29
10,7.641513428027264e-25,9.11266150282858e-50,3.018718519973099e-25
20,4.162229807410017e-24,2.764835965473691e-48,1.6627795901663247e-24
30,2.1545658938507084e-24,6.276260535802053e-48,2.505246601794333e-24
40,2.3346485164275953e-24,1.2306496912750377e-48,1.109346515420244e-24
50,3.93416526024156e-24,1.5475519622452044e-47,3.933893697401093e-24
60,7.130536158776874e-24,1.8608553410414933e-47,4.3137632538672e-24
70,1.2739844824026826e-23,2.344790934500574e-47,4.8423041359466196e-24
80,3.362128469769071e-24,3.895594772858477e-48,1.9737261139424782e-24
90,5.4241594669406515e-24,2.2531697733046617e-47,4.74675654874427e-24
100,4.694175316878795e-24,3.253012304284359e-48,1.8036109071205903e-24
